user_id,course_id,enrollment_date,enrollment_status
USER00378,CU047,2025-12-18 04:56:02.024909,ACTIVE
USER01965,CU039,2025-08-09 04:56:02.024930,ACTIVE
USER01696,CU017,2024-08-24 04:56:02.024936,ACTIVE
USER00796,CU040,2024-08-12 04:56:02.024941,ACTIVE
USER01619,CU002,2025-11-06 04:56:02.024946,INACTIVE
USER00886,CU045,2025-11-01 04:56:02.024950,INACTIVE
USER00780,CU031,2024-09-30 04:56:02.024955,INACTIVE
USER00145,CU032,2025-02-15 04:56:02.024962,ACTIVE
USER01092,CU043,2025-02-19 04:56:02.024968,ACTIVE
USER00002,CU011,2024-09-28 04:56:02.024973,INACTIVE
USER01942,CU038,2025-08-14 04:56:02.024977,ACTIVE
USER01087,CU001,2024-09-25 04:56:02.024981,INACTIVE
USER01925,CU059,2025-11-17 04:56:02.024986,ACTIVE
USER00370,CU017,2025-12-19 04:56:02.024989,ACTIVE
USER01319,CU059,2024-06-19 04:56:02.024993,ACTIVE
USER00980,CU059,2025-07-07 04:56:02.024997,ACTIVE
USER01929,CU024,2024-09-22 04:56:02.025001,INACTIVE
USER00105,CU056,2025-09-04 04:56:02.025005,ACTIVE
USER01327,CU023,2025-04-15 04:56:02.025010,INACTIVE
USER01375,CU018,2025-03-30 04:56:02.025014,INACTIVE
USER00791,CU024,2025-07-01 04:56:02.025017,ACTIVE
USER01789,CU055,2025-02-14 04:56:02.025022,ACTIVE
USER01796,CU051,2025-05-01 04:56:02.025026,ACTIVE
USER01083,CU017,2024-07-23 04:56:02.025030,INACTIVE
USER00452,CU042,2025-03-13 04:56:02.025034,INACTIVE
USER00318,CU036,2026-01-20 04:56:02.025038,ACTIVE
USER01176,CU003,2024-10-15 04:56:02.025042,ACTIVE
USER01011,CU044,2024-11-22 04:56:02.025045,INACTIVE
USER01735,CU034,2025-08-24 04:56:02.025050,INACTIVE
USER00893,CU044,2025-06-10 04:56:02.025054,ACTIVE
USER01087,CU056,2024-08-18 04:56:02.025057,ACTIVE
USER00700,CU031,2025-09-30 04:56:02.025061,INACTIVE
USER00654,CU017,2024-11-19 04:56:02.025065,ACTIVE
USER00583,CU058,2026-01-11 04:56:02.025069,INACTIVE
USER00506,CU020,2024-10-05 04:56:02.025073,ACTIVE
USER00138,CU022,2025-02-21 04:56:02.025077,INACTIVE
USER01491,CU041,2025-02-11 04:56:02.025081,INACTIVE
USER00360,CU046,2024-11-08 04:56:02.025086,INACTIVE
USER01424,CU053,2024-09-21 04:56:02.025091,ACTIVE
USER01664,CU042,2024-08-23 04:56:02.025095,ACTIVE
USER01997,CU039,2025-05-25 04:56:02.025098,INACTIVE
USER01762,CU040,2025-11-09 04:56:02.025102,INACTIVE
USER00352,CU005,2025-02-02 04:56:02.025106,ACTIVE
USER01654,CU029,2024-06-29 04:56:02.025110,INACTIVE
USER01129,CU058,2024-10-02 04:56:02.025114,INACTIVE
