user_id,course_id,lesson_id,activity_status,activity_date
USER01487,CU048,LES00648,COMPLETED,2026-01-17 04:56:02.534742
USER00626,CU014,LES00134,COMPLETED,2025-11-06 04:56:02.534774
USER01169,CU002,LES00362,STARTED,2025-07-06 04:56:02.534785
USER01340,CU031,LES00211,COMPLETED,2025-09-30 04:56:02.534792
USER01629,CU048,LES00108,STARTED,2025-07-28 04:56:02.534797
USER00638,CU047,LES01067,STARTED,2025-06-28 04:56:02.534804
USER00966,CU021,LES00501,COMPLETED,2025-05-18 04:56:02.534809
USER01458,CU004,LES00244,STARTED,2025-06-25 04:56:02.534818
USER01267,CU035,LES00575,COMPLETED,2025-09-04 04:56:02.534825
USER00221,CU008,LES00308,COMPLETED,2025-10-16 04:56:02.534832
USER00438,CU018,LES00018,COMPLETED,2026-01-04 04:56:02.534840
USER00885,CU046,LES00646,STARTED,2025-06-18 04:56:02.534847
USER01631,CU060,LES00360,STARTED,2025-05-14 04:56:02.534853
USER01922,CU033,LES00573,COMPLETED,2025-09-21 04:56:02.534858
USER00321,CU021,LES00861,COMPLETED,2025-11-08 04:56:02.534863
USER01472,CU025,LES00505,COMPLETED,2025-09-24 04:56:02.534868
USER00732,CU037,LES00817,STARTED,2025-10-28 04:56:02.534875
USER00911,CU027,LES00087,COMPLETED,2026-01-25 04:56:02.534880
USER01831,CU025,LES00025,COMPLETED,2025-11-01 04:56:02.534884
USER00931,CU030,LES00150,STARTED,2026-01-06 04:56:02.534890
USER01964,CU045,LES00825,STARTED,2025-10-19 04:56:02.534896
USER00251,CU049,LES00709,COMPLETED,2025-06-15 04:56:02.534904
USER00300,CU008,LES01028,STARTED,2025-04-15 04:56:02.534911
USER00119,CU018,LES00618,COMPLETED,2025-08-15 04:56:02.534916
USER00254,CU033,LES00213,STARTED,2025-04-14 04:56:02.534920
USER01976,CU047,LES01007,COMPLETED,2025-09-14 04:56:02.534925
USER00245,CU002,LES00662,STARTED,2025-09-03 04:56:02.534930
USER00331,CU013,LES00973,STARTED,2025-10-25 04:56:02.534935
USER00643,CU015,LES00135,COMPLETED,2025-12-01 04:56:02.534939
USER01118,CU021,LES00021,COMPLETED,2025-07-01 04:56:02.534943
USER00926,CU036,LES00996,COMPLETED,2025-08-17 04:56:02.534948
USER00073,CU042,LES00162,COMPLETED,2025-12-10 04:56:02.534954
USER00795,CU017,LES00077,STARTED,2026-01-13 04:56:02.534960
USER01699,CU056,LES00596,STARTED,2025-05-07 04:56:02.534968
USER01171,CU001,LES00061,STARTED,2025-08-05 04:56:02.534975
USER01149,CU013,LES00673,STARTED,2025-10-21 04:56:02.534982
USER00812,CU053,LES00893,STARTED,2025-09-19 04:56:02.534988
USER01592,CU038,LES00518,STARTED,2025-09-11 04:56:02.534995
USER01764,CU003,LES00903,COMPLETED,2025-07-11 04:56:02.535003
USER01646,CU028,LES01048,COMPLETED,2025-08-08 04:56:02.535009
